CCTV1综合,rtp://239.254.100.96:8550
CCTV2财经,rtp://239.69.1.102:10250
CCTV3综艺,rtp://239.69.1.122:10370
CCTV4国际,rtp://239.69.1.138:10466
CCTV4欧洲,rtp://239.69.1.231:11028
CCTV4美洲,rtp://239.69.1.232:11034
CCTV5体育,rtp://239.69.1.123:10376
CCTV5+体育赛事,rtp://239.254.100.234:9484
CCTV6电影,rtp://239.69.1.124:10382
CCTV7国防军事,rtp://239.69.1.103:10256
CCTV8电视剧,rtp://239.69.1.125:10388
CCTV9记录,rtp://239.69.1.104:10262
CCTV10科教,rtp://239.69.1.105:10268
CCTV11戏曲,rtp://239.69.1.154:10560
CCTV12社会与法,rtp://239.69.1.106:10274
CCTV13新闻,rtp://239.254.100.161:9040
CCTV14少儿,rtp://239.69.1.107:10280
CCTV15音乐,rtp://239.69.1.155:10566
CCTV16奥林匹克,rtp://239.69.1.13:9718#rtp://239.69.1.247:11124
CCTV17农业农村,rtp://39.69.1.152:10548
北京卫视,rtp://239.254.100.141:8920
东方卫视,rtp://239.69.1.173:10674#rtp://239.254.100.142:8926
天津卫视,rtp://239.69.1.68:10048
广东卫视,rtp://239.254.100.140:8914
深圳卫视,rtp://239.254.100.137:8896
浙江卫视,rtp://239.254.100.143:8932
江苏卫视,rtp://239.69.1.174:10680#rtp://239.254.100.144:8938
山东卫视,rtp://239.69.1.69:10054
安徽卫视,rtp://239.69.1.70:10060
湖北卫视,rtp://239.254.100.115:8664
湖南卫视,rtp://239.254.100.139:8908
辽宁卫视,rtp://239.69.1.71:10066
黑龙江卫视,rtp://239.254.100.138:8902
河北卫视,rtp://239.69.1.157:10578
四川卫视,rtp://239.69.1.169:10650
重庆卫视,rtp://239.69.1.149:10530
贵州卫视,rtp://239.69.1.150:10536
河南卫视,rtp://239.69.1.168:10644
东南卫视,rtp://239.69.1.108:10286
江西卫视,rtp://239.69.1.126:10394
广西卫视,rtp://239.69.1.191:10788
海南卫视,rtp://239.69.1.151:10542
吉林卫视,rtp://239.69.1.212:10914
宁夏卫视,rtp://239.254.100.97:8556
山西卫视,rtp://239.254.100.93:8532
云南卫视,rtp://239.254.100.30:8154
西藏卫视,rtp://239.254.100.35:8184
内蒙古卫视,rtp://239.254.100.41:8220
新疆卫视,rtp://239.254.100.47:8256
兵团卫视,rtp://239.254.100.48:8262
青海卫视,rtp://239.254.100.95:8544
陕西卫视,rtp://239.254.100.186:9196
甘肃卫视,rtp://239.254.100.187:9202
三沙卫视,rtp://239.69.1.171:10662
金鹰纪实HD,rtp://239.69.1.109:10292
金鹰卡通HD,rtp://239.69.1.248:11130
快乐垂钓HD,rtp://239.69.1.142:10488
茶频道HD,rtp://239.69.1.144:10500
CHC家庭影院,rtp://239.69.1.243:11100
CHC动作电影,rtp://239.69.1.242:11094
CHC高清电影,rtp://239.69.1.241:11088
网络棋牌,rtp://239.69.1.186:10758
湖北公共,rtp://239.69.1.40:9880
湖北经视,rtp://239.69.1.41:9886
湖北综合,rtp://239.69.1.42:9892
湖北垄上,rtp://239.69.1.43:9898
湖北影视,rtp://239.69.1.204:10866
湖北生活,rtp://239.69.1.205:10872
湖北教育,rtp://239.69.1.206:10878
武汉教育,rtp://239.69.1.60:10000
武汉一套,rtp://239.254.100.228:9448
武汉二套,rtp://239.254.100.229:9454
仙桃新闻,rtp://239.254.100.241:9526
仙桃生活,rtp://239.254.100.242:9532
CCTV第一剧场,rtp://239.69.1.74:10084
CCTV兵器科技,rtp://239.69.1.79:10114
CCTV风云足球,rtp://239.69.1.81:10126
CCTV高尔夫网球,rtp://239.69.1.83:10138
CCTV老故事,rtp://239.69.1.85:10150
CCTV女性时尚,rtp://239.69.1.86:10156
CCTV电视指南,rtp://239.69.1.87:10162
CCTV怀旧剧场,rtp://239.69.1.89:10174
CCTV风云音乐,rtp://239.69.1.90:10180
CCTV世界地理,rtp://239.69.1.91:10186
CCTV央视台球,rtp://239.69.1.98:10224
CCTV卫生健康,rtp://239.254.100.207:9322
CETV1,rtp://239.69.1.110:10298
CETV2,rtp://239.69.1.183:10734
CETV3,rtp://239.69.1.183:10734
CETV4,rtp://239.69.1.175:10686
卡酷少儿,rtp://239.254.100.188:9208
新动漫,rtp://239.69.1.187:10764
财富天下,rtp://239.254.100.210:9340
环球奇观,rtp://239.254.100.192:9232
国学频道,rtp://239.254.100.194:9244
书画频道,rtp://239.69.1.189:10776
先锋乒乓,rtp://239.69.1.143:10494
四海钓鱼,rtp://239.69.1.244:11106
山东教育,rtp://2239.69.1.228:11010
