CCTV1高清 rtp://225.1.8.1:8008
CCTV2高清 rtp://225.1.8.2:8084
CCTV7高清 rtp://225.1.8.7:8104
CCTV9高清 rtp://225.1.8.9:8112
CCTV10高清 rtp://225.1.8.10:8116
CCTV12高清 rtp://225.1.8.12:8124
CCTV14高清 rtp://225.1.8.14:8132
CCTV5+ rtp://225.1.8.20:8004
北京卫视高清 rtp://225.1.8.21:8002
北京文艺高清 rtp://225.1.8.22:8002
北京体育高清 rtp://225.1.8.23:8002
北京淘BABY rtp://225.1.8.36:8002
北京淘剧场 rtp://225.1.8.37:8002
北京淘电影 rtp://225.1.8.38:8002
大健康 rtp://225.1.8.39:8002
北京4K rtp://225.1.8.211:8002
湖南卫视高清 rtp://225.1.8.41:8012
黑龙江卫视高清 rtp://225.1.8.42:8016
江苏卫视高清 rtp://225.1.8.44:8028
东方卫视高清 rtp://225.1.8.45:8032
浙江卫视高清 rtp://225.1.8.46:8036
湖北卫视高清 rtp://225.1.8.47:8044
天津卫视高清 rtp://225.1.8.48:8044
广东卫视高清 rtp://225.1.8.49:8048
山东卫视高清 rtp://225.1.8.50:8052
辽宁卫视高清 rtp://225.1.8.51:8056
安徽卫视高清 rtp://225.1.8.52:8064
纪实频道HD rtp://225.1.8.53:8060
CCTV1 rtp://225.1.8.101:8080
CCTV2 rtp://225.1.8.102:8004
CCTV4 rtp://225.1.8.104:8216
CCTV7 rtp://225.1.8.107:8024
CCTV9 rtp://225.1.8.109:8032
CCTV10 rtp://225.1.8.110:8228
CCTV11 rtp://225.1.8.111:8040
CCTV12 rtp://225.1.8.112:8232
CCTV13 rtp://225.1.8.113:8264
CCTV14 rtp://225.1.8.114:8236
CCTV15 rtp://225.1.8.115:8052
CGTN rtp://225.1.8.116:8056
北京卫视 rtp://225.1.8.121:8002
BTV文艺 rtp://225.1.8.122:8002
BTV科教 rtp://225.1.8.123:8002
BTV影视 rtp://225.1.8.124:8002
BTV财经 rtp://225.1.8.125:8002
BTV体育 rtp://225.1.8.126:8002
BTV生活 rtp://225.1.8.127:8002
BTV青年 rtp://225.1.8.128:8002
BTV新闻 rtp://225.1.8.129:8002
BTV卡酷少儿 rtp://225.1.8.130:8002
BTV国际频道 rtp://225.1.8.131:8002
湖南卫视 rtp://225.1.8.132:8064
浙江卫视 rtp://225.1.8.133:8284
江苏卫视 rtp://225.1.8.134:8276
安徽卫视 rtp://225.1.8.135:8272
天津卫视 rtp://225.1.8.136:8144
辽宁卫视 rtp://225.1.8.137:8116
山东卫视 rtp://225.1.8.138:8148
云南卫视 rtp://225.1.8.139:8108
河南卫视 rtp://225.1.8.140:8128
黑龙江卫视 rtp://225.1.8.141:8196
四川卫视 rtp://225.1.8.142:8288
江西卫视 rtp://225.1.8.143:8280
贵州卫视 rtp://225.1.8.144:8120
深圳卫视 rtp://225.1.8.145:9244
湖北卫视 rtp://225.1.8.146:8136
东方卫视 rtp://225.1.8.147:8192
重庆卫视 rtp://225.1.8.148:8296
东南卫视 rtp://225.1.8.149:8112
河北卫视 rtp://225.1.8.150:8292
广东卫视 rtp://225.1.8.151:8132
广西卫视 rtp://225.1.8.152:8300
吉林卫视 rtp://225.1.8.153:8200
陕西卫视 rtp://225.1.8.154:8140
山西卫视 rtp://225.1.8.155:8172
内蒙古卫视 rtp://225.1.8.156:8176
青海卫视 rtp://225.1.8.157:8184
旅游卫视 rtp://225.1.8.158:8304
宁夏卫视 rtp://225.1.8.159:8124
西藏卫视 rtp://225.1.8.160:8164
新疆卫视 rtp://225.1.8.161:8160
金鹰卡通 rtp://225.1.8.163:9252
财富天下 rtp://225.1.8.165:9136
厦门卫视 rtp://225.1.8.166:4120
兵团卫视 rtp://225.1.8.167:4120
嘉佳卡通 rtp://225.1.8.170:9268
收视指南 rtp://225.1.8.201:8012
热播剧场 rtp://225.1.8.202:9020
经典电影 rtp://225.1.8.203:9024
魅力时尚 rtp://225.1.8.204:9012
IPTV6+ rtp://225.1.8.205:9016
IPTV3+ rtp://225.1.8.206:9004
少儿动画 rtp://225.1.8.207:9000
IPTV5+ rtp://225.1.8.208:9008
IPTV8+ rtp://225.1.8.209:8072
熊猫频道 rtp://225.1.8.210:8068
墨宝 rtp://225.1.8.243:4120
台球 rtp://225.1.8.245:4120
高网 rtp://225.1.8.248:4120
