CCTV1高清,rtp://239.93.16.133:9260
CCTV2高清,rtp://239.93.16.60:8354
CCTV3高清,rtp://239.93.16.141:9320
CCTV4高清,rtp://239.93.17.186:7728
CCTV5高清,rtp://239.93.16.143:9332
CCTV6高清,rtp://239.93.16.144:9338
CCTV7高清,rtp://239.93.16.64:8378
CCTV8高清,rtp://239.93.16.145:9344
CCTV9高清,rtp://239.93.16.61:8360
CCTV10高清,rtp://239.93.16.65:8384
CCTV11高清,rtp://239.93.16.129:7914
CCTV12高清,rtp://239.93.16.68:8402
CCTV13高清,rtp://239.93.17.210:8278
CCTV少儿高清,rtp://239.93.16.69:8408
CCTV15高清,rtp://239.93.16.131:7918
CCTV16高清,rtp://239.93.17.219:8436
CCTV17高清,rtp://239.93.16.154:7832
CCTV1杜比高清,rtp://239.93.16.111:8662
CCTV5+高清,rtp://239.93.16.78:8462
爱上4K,rtp://239.93.17.252:8816
CGTN英语,rtp://239.93.17.206:8844
CCTV164K超高清,rtp://239.93.16.206:8840
四川卫视高清,rtp://239.93.16.107:8636
湖南卫视高清,rtp://239.93.16.193:9630
江苏卫视高清,rtp://239.93.16.194:9636
浙江卫视高清,rtp://239.93.16.215:9762
东方卫视高清,rtp://239.93.16.216:9768
北京卫视高清,rtp://239.93.16.137:9296
深圳卫视高清,rtp://239.93.16.139:9308
广东卫视高清,rtp://239.93.16.132:9254
天津卫视高清,rtp://239.93.16.125:8750
山东卫视高清,rtp://239.93.16.126:8756
SCTV2高清,rtp://239.93.16.71:8420
SCTV3高清,rtp://239.93.16.41:8240
SCTV4高清,rtp://239.93.17.179:7720
SCTV5高清,rtp://239.93.16.188:9600
SCTV6高清,rtp://239.93.16.113:7824
SCTV7高清,rtp://239.93.17.87:7348
SCTV科教高清,rtp://239.93.16.209:8274
四川乡村频道高清,rtp://239.93.16.97:7820
康巴卫视高清,rtp://239.93.16.212:8344
江西卫视高清,rtp://239.93.17.214:7748
东南卫视高清,rtp://239.93.17.89:7356
黑龙江卫视高清,rtp://239.93.16.140:9314
重庆卫视高清,rtp://239.93.16.7:8024
贵州卫视高清,rtp://239.93.17.201:7744
湖北卫视高清,rtp://239.93.16.127:8762
安徽卫视高清,rtp://239.93.17.190:7974
河北卫视高清,rtp://239.93.17.180:7752
辽宁卫视高清,rtp://239.93.16.191:7978
河南卫视高清,rtp://239.93.17.209:8270
广西卫视高清,rtp://239.93.17.208:8266
云南卫视,rtp://239.93.16.39:8228
吉林卫视高清,rtp://239.93.16.221:9798
