CCTV1高清,rtp://239.121.4.113:8636
CCTV2高清,rtp://239.121.4.155:8914
CCTV3高清,rtp://239.121.4.151:8890
CCTV4HD美,rtp://239.121.4.124:8002
CCTV4HD欧,rtp://239.121.4.123:8000
CCTV4高清,rtp://239.121.4.134:8786
CCTV5高清,rtp://239.121.4.152:8896
CCTV5高清,rtp://239.121.4.140:8852
CCTV6高清,rtp://239.121.4.153:8902
CCTV7高清,rtp://239.121.4.156:8920
CCTV8高清,rtp://239.121.4.154:8908
CCTV9高清,rtp://239.121.4.157:8926
CCTV10高清,rtp://239.121.4.158:8932
CCTV11高清,rtp://239.121.4.150:9202
CCTV12高清,rtp://239.121.4.159:8938
CCTV13高清,rtp://239.121.4.13:8028
CCTV14高清,rtp://239.121.4.160:8944
CCTV15高清,rtp://239.121.4.202:9208
CCTV164K,rtp://239.121.4.122:8008
CCTV17高清,rtp://239.121.4.61:8340
CETV 2,rtp://239.121.4.60:8334
CETV 4,rtp://239.121.4.199:9178
CETV1高清,rtp://239.121.4.180:9064
CGTN阿拉伯语,rtp://239.121.4.207:8026
CGTN俄语,rtp://239.121.4.208:8030
CGTN法语,rtp://239.121.4.206:8024
CGTN西班牙语,rtp://239.121.4.137:8020
CGTN英文纪录,rtp://239.121.4.136:8018
CGTN英语,rtp://239.121.4.125:8014
IPTV谍战剧场,rtp://239.121.4.170:9004
IPTV法治,rtp://239.121.4.185:9094
IPTV经典电影,rtp://239.121.4.172:9016
IPTV魅力时尚,rtp://239.121.4.85:8484
IPTV热播剧场,rtp://239.121.4.171:9010
IPTV少儿动画,rtp://239.121.4.87:8496
IPTV相声小品,rtp://239.121.4.186:9100
IPTV野外,rtp://239.121.4.182:9076
爱大剧,rtp://239.121.4.145:8840
爱电影,rtp://239.121.4.144:8834
爱上4K试播,rtp://239.121.4.95:8544
爱生活,rtp://239.121.4.189:9118
爱体育高清,rtp://239.121.4.190:9124
爱综艺,rtp://239.121.4.142:8846
安徽卫视高清,rtp://239.121.4.161:8950
北京卫视高清,rtp://239.121.4.117:8684
兵团卫视,rtp://239.121.4.195:9154
财富天下,rtp://239.121.4.181:9070
城市剧场,rtp://239.121.4.173:9022
导视,rtp://239.121.4.89:8508
地理,rtp://239.121.4.82:8466
东方财经高清,rtp://239.121.4.71:8400
东方卫视高清,rtp://239.121.4.109:8636
东南卫视高清,rtp://239.121.4.102:9226
动画,rtp://239.121.4.166:8980
动漫秀场,rtp://239.121.4.74:8418
动作影院,rtp://239.121.4.177:9046
都市剧场,rtp://239.121.4.62:8346
法治天地,rtp://239.121.4.70:8394
甘肃卫视,rtp://239.121.4.25:8124
高网,rtp://239.121.4.192:9136
古装剧场,rtp://239.121.4.175:9034
光影,rtp://239.121.4.84:8478
广东卫视高清,rtp://239.121.4.118:8690
广西卫视,rtp://239.121.4.47:8256
贵州卫视高清,rtp://239.121.4.65:8364
国学,rtp://239.121.4.81:8460
哈哈炫动,rtp://239.121.4.51:8280
海南卫视,rtp://239.121.4.50:8274
好学生,rtp://239.121.4.197:9166
河北卫视高清,rtp://239.121.4.76:8430
河南卫视,rtp://239.121.4.40:8214
黑龙江高清,rtp://239.121.4.120:8702
湖北卫视高清,rtp://239.121.4.126:8738
湖南卫视高清,rtp://239.121.4.114:8666
欢笑剧场高清,rtp://239.121.4.64:8358
吉林卫视高清,rtp://239.121.4.43:8232
纪实高清,rtp://239.121.4.164:8968
家庭影院,rtp://239.121.4.80:8454
家有购物,rtp://239.121.4.96:8550
嘉佳卡通,rtp://239.121.4.79:8448
鉴赏,rtp://239.121.4.184:9088
江苏卫视高清,rtp://239.121.4.115:8672
江西卫视高清,rtp://239.121.4.111:8648
解密,rtp://239.121.4.183:9082
金色频道,rtp://239.121.4.78:8442
金鹰纪实高清,rtp://239.121.4.167:8986
金鹰卡通,rtp://239.121.4.52:8286
精选,rtp://239.121.4.169:9190
军旅剧场,rtp://239.121.4.174:9028
军事,rtp://239.121.4.196:9160
卡酷动画,rtp://239.121.4.53:8292
乐游,rtp://239.121.4.69:8388
辽宁卫视高清,rtp://239.121.4.163:8962
美人,rtp://239.121.4.188:9112
美妆,rtp://239.121.4.83:8472
墨宝,rtp://239.121.4.86:8490
内蒙古卫视,rtp://239.121.4.57:8316
宁煤频道,rtp://239.121.4.105:8410
宁夏公共高清,rtp://239.121.4.97:8556
宁夏教育高清,rtp://239.121.4.200:9184
宁夏经济高清,rtp://239.121.4.91:8520
宁夏少儿高清,rtp://239.121.4.63:8352
宁夏卫视高清,rtp://239.121.4.94:8538
宁夏文旅高清,rtp://239.121.4.93:8532
青海卫视,rtp://239.121.4.55:8304
三沙卫视,rtp://239.121.4.101:9220
山东卫视高清,rtp://239.121.4.162:8956
山西卫视,rtp://239.121.4.32:8166
陕西卫视,rtp://239.121.4.38:8202
深圳卫视高清,rtp://239.121.4.119:8696
生活时尚,rtp://239.121.4.68:8382
四川卫视高清,rtp://239.121.4.110:8642
台球,rtp://239.121.4.194:9148
天津卫视高清,rtp://239.121.4.72:8406
武术,rtp://239.121.4.191:9130
武侠剧场,rtp://239.121.4.179:9058
西藏卫视,rtp://239.121.4.56:8310
喜剧影院,rtp://239.121.4.176:9040
戏曲,rtp://239.121.4.187:9106
新疆卫视,rtp://239.121.4.58:8322
星影,rtp://239.121.4.168:8992
音乐现场,rtp://239.121.4.178:9052
银川公共高清,rtp://239.121.4.21:8100
银川生活高清,rtp://239.121.4.106:8610
银川文体高清,rtp://239.121.4.22:8106
游戏风云,rtp://239.121.4.75:8424
云南卫视,rtp://239.121.4.48:8262
早教,rtp://239.121.4.198:9172
浙江卫视高清,rtp://239.121.4.116:8678
直播室101,rtp://239.121.4.127:8744
直播室102,rtp://239.121.4.128:8750
直播室103,rtp://239.121.4.129:8756
直播室104,rtp://239.121.4.130:8762
直播室105,rtp://239.121.4.131:8768
直播室106,rtp://239.121.4.132:8774
直播室107,rtp://239.121.4.133:8780
直播室108,rtp://239.121.4.146:8858
直播室109,rtp://239.121.4.147:8864
直播室110,rtp://239.121.4.148:8870
直播室111,rtp://239.121.4.149:8876
中国天气,rtp://239.121.4.112:8654
重庆卫视高清,rtp://239.121.4.36:8190
足球,rtp://239.121.4.193:9142
