CCTV1HD,rtp://238.1.78.166:7200
CCTV2HD,rtp://238.1.78.235:7752
CCTV3HD,rtp://238.1.78.170:7232
CCTV4HD,rtp://238.1.78.236:7760
CCTV5HD,rtp://238.1.78.171:7240
CCTV6HD,rtp://238.1.78.172:7248
CCTV7HD,rtp://238.1.78.239:7784
CCTV8HD,rtp://238.1.78.173:7256
CCTV9HD,rtp://238.1.78.240:7792
CCTV10HD,rtp://238.1.78.241:7800
CCTV11HD,rtp://238.1.78.206:7502
CCTV12HD,rtp://238.1.78.242:7808
CCTV13HD,rtp://238.1.79.35:4392
CCTV14HD,rtp://238.1.78.243:7816
CCTV15HD,rtp://238.1.78.222:7648
CGTN,rtp://238.1.78.50:6272
CCTV17HD,rtp://238.1.78.178:7296
CCTV电视指南HD,rtp://238.1.79.53:4560
CCTV央视文化精品HD,rtp://238.1.79.54:4568
CCTV女性时尚HD,rtp://238.1.79.55:4576
CCTV兵器科技HD,rtp://238.1.79.56:4584
CCTV风云足球HD,rtp://238.1.79.57:4592
CCTV世界地理HD,rtp://238.1.79.60:4616
CCTV怀旧剧场HD,rtp://238.1.79.61:4624
CCTV风云剧场HD,rtp://238.1.79.62:4632
CCTV第一剧场HD,rtp://238.1.79.63:4640
CCTV风云音乐HD,rtp://238.1.79.64:4648
CCTV高尔夫网球HD,rtp://238.1.79.58:4600
CCTV央视台球HD,rtp://238.1.79.59:4608
CCTV5+HD,rtp://238.1.78.237:7768
CETV1HD,rtp://238.1.78.158:7136
CETV2,rtp://238.1.78.106:6720
CETV4,rtp://238.1.78.107:6728
安徽卫视FHD,rtp://238.1.79.27:4328
安徽经济HD,rtp://238.1.79.44:4464
安徽影视HD,rtp://238.1.79.42:4448
安徽公共HD,rtp://238.1.79.43:4456
安徽体育HD,rtp://238.1.79.41:4440
安徽科教HD,rtp://238.1.79.40:4432
安徽人物HD,rtp://238.1.79.45:4472
安徽国际,rtp://238.1.78.61:6360
安徽导视,rtp://238.1.79.66:4664
海豚生活HD,rtp://238.1.79.50:4512
海豚少儿HD,rtp://238.1.79.32:4368
海豚健康HD,rtp://238.1.79.33:4376
海豚影视HD,rtp://238.1.79.34:4384
家家购物,rtp://238.1.78.32:6184
北京卫视HD,rtp://238.1.78.162:7168
天津卫视HD,rtp://238.1.78.20:6088
重庆卫视HD,rtp://238.1.78.31:6176
东方卫视HD,rtp://238.1.78.163:7176
安徽卫视HD,rtp://238.1.78.150:7072
江苏卫视HD,rtp://238.1.78.165:7192
浙江卫视HD,rtp://238.1.78.164:7184
黑龙江卫视HD,rtp://238.1.78.159:7144
吉林卫视HD,rtp://238.1.79.48:4496
辽宁卫视HD,rtp://238.1.78.21:6096
东南卫视HD,rtp://238.1.78.22:6104
四川卫视HD,rtp://238.1.78.30:6168
江西卫视HD,rtp://238.1.78.26:6136
广东卫视HD,rtp://238.1.78.161:7160
海南卫视HD,rtp://238.1.79.49:4504
湖北卫视HD,rtp://238.1.78.168:7216
湖南卫视HD,rtp://238.1.78.160:7152
贵州卫视HD,rtp://238.1.78.244:7824
河北卫视HD,rtp://238.1.78.245:7832
