山东卫视高清,rtp://239.253.246.78:8000
潍坊经济生活,rtp://239.253.246.254:8000
潍坊科教文化,rtp://239.253.246.241:8000
齐鲁高清,rtp://239.253.246.114:8000
山东影视高清,rtp://239.253.246.19:8000
山东生活高清,rtp://239.253.246.20:8000
山东综艺高清,rtp://239.253.246.21:8000
山东体育高清,rtp://239.253.246.22:8000
山东新闻高清,rtp://239.253.246.23:8000
山东农科,rtp://239.253.246.24:8000
山东少儿,rtp://239.253.246.25:8000
山东教育卫视高清,rtp://239.253.246.59:8000
寿光蔬菜,rtp://239.253.246.248:8000
昌乐综合,rtp://239.253.246.251:8000
诸城新闻综合,rtp://239.253.246.249:8000
奎文娱乐,rtp://239.253.246.250:8000
青州新闻,rtp://239.253.246.247:8000
潍坊新闻,rtp://239.253.246.253:8000
潍坊公共,rtp://239.253.246.242:8000
寿光综合,rtp://239.253.246.252:8000
青州文旅,rtp://239.253.246.246:8000
山东文旅,rtp://239.253.246.160:8000
湖南卫视高清,rtp://239.253.246.82:8000
浙江卫视高清,rtp://239.253.246.84:8000
东方卫视高清,rtp://239.253.246.86:8000
江苏卫视高清,rtp://239.253.246.83:8000
北京卫视高清,rtp://239.253.246.85:8000
安徽卫视高清,rtp://239.253.246.87:8000
天津卫视高清,rtp://239.253.246.89:8000
辽宁卫视高清,rtp://239.253.246.92:8000
深圳卫视高清,rtp://239.253.246.91:8000
东南卫视高清,rtp://239.253.246.105:8000
湖北卫视高清,rtp://239.253.246.88:8000
广东卫视高清,rtp://239.253.246.90:8000
黑龙江卫视高清,rtp://239.253.246.93:8000
贵州卫视高清,rtp://239.253.246.113:8000
河北卫视高清,rtp://239.253.246.112:8000
重庆卫视,rtp://239.253.246.38:8000
海南卫视,rtp://239.253.246.35:8000
四川卫视,rtp://239.253.246.50:8000
云南卫视,rtp://239.253.246.196:8000
河南卫视,rtp://239.253.246.44:8000
江西卫视,rtp://239.253.246.47:8000
广西卫视,rtp://239.253.246.197:8000
吉林卫视,rtp://239.253.246.46:8000
山西卫视,rtp://239.253.246.48:8000
陕西卫视,rtp://239.253.246.49:8000
内蒙古卫视,rtp://239.253.246.58:8000
大湾区卫视,rtp://239.253.246.69:8000
宁夏卫视,rtp://239.253.246.53:8000
新疆卫视,rtp://239.253.246.60:8000
甘肃卫视,rtp://239.253.246.52:8000
青海卫视,rtp://239.253.246.54:8000
西藏卫视,rtp://239.253.246.56:8000
兵团卫视,rtp://239.253.246.57:8000
农林卫视,rtp://239.253.246.70:8000
厦门卫视,rtp://239.253.246.106:8000
三沙卫视,rtp://239.253.246.171:8000
都市剧场,rtp://239.253.246.178:8000
乐游高清,rtp://239.253.246.97:8000
中国交通,rtp://239.253.246.177:8000
法制天地,rtp://239.253.246.96:8000
金鹰纪实高清,rtp://239.253.246.103:8000
CHC家庭影院高清,rtp://239.253.246.152:8000
CHC动作电影高清,rtp://239.253.246.153:8000
CHC高清电影,rtp://239.253.246.154:8000
金鹰卡通,rtp://239.253.246.117:8000
卡酷动画,rtp://239.253.246.66:8000
优漫卡通,rtp://239.253.246.64:8000
炫动卡通,rtp://239.253.246.63:8000
嘉佳卡通,rtp://239.253.246.65:8000
都市剧场,rtp://239.253.246.178:8000
乐游高清,rtp://239.253.246.97:8000
中国交通,rtp://239.253.246.177:8000
法制天地,rtp://239.253.246.96:8000
金鹰纪实高清,rtp://239.253.246.103:8000

