频道01,udp/238.1.40.1:10001
频道02,udp/238.1.40.3:10002
频道03,udp/238.1.40.5:10003
频道04,udp/238.1.40.7:10004
频道05,udp/238.1.40.9:10005
频道06,udp/238.1.40.11:10006
频道07,udp/238.1.40.13:10007
频道08,udp/238.1.40.15:10008
频道09,udp/238.1.40.17:10009
频道10,udp/238.1.40.4:20004
频道11,udp/238.1.40.6:20006
频道12,udp/238.1.40.117:10060
频道13,udp/238.1.40.119:10061
频道14,udp/238.1.40.121:10062
频道15,udp/238.1.40.123:10063
频道16,udp/238.1.40.125:10064
频道17,udp/238.1.40.127:10065
频道18,udp/238.1.40.129:10066
频道19,udp/238.1.40.131:10067
频道20,udp/238.1.40.133:10068
频道21,udp/238.1.40.135:10069
频道22,udp/238.1.40.137:10070
频道23,udp/238.1.40.139:10071
频道24,udp/238.1.40.141:10072
频道25,udp/238.1.40.143:10073
频道26,udp/238.1.40.145:10074
频道27,udp/238.1.40.147:10075
频道28,udp/238.1.40.149:10076
频道29,udp/238.1.40.151:10077
频道30,udp/238.1.40.153:10078
频道31,udp/238.1.40.155:10079
频道32,udp/238.1.40.157:10080
频道33,udp/238.1.40.159:10081
频道34,udp/238.1.40.161:10082
频道35,udp/238.1.40.163:10083
频道36,udp/238.1.40.165:10084
频道37,udp/238.1.40.167:10085
频道38,udp/238.1.40.169:10086
频道39,udp/238.1.40.221:10112
频道40,udp/238.1.40.223:10113
频道41,udp/238.1.40.225:10114
频道42,udp/238.1.40.239:10121
频道43,udp/238.1.40.241:10122
频道44,udp/238.1.40.243:10123
频道45,udp/238.1.40.245:10124
频道46,udp/238.1.40.247:10125
频道47,udp/238.1.40.251:10127
频道48,udp/238.1.40.253:10128
