咪咕-高清赛事29,rtp://239.11.0.22:1025
咪咕-高清赛事28,rtp://239.11.0.21:1025
咪咕-高清赛事27,rtp://239.11.0.20:1025
咪咕-高清赛事26,rtp://239.11.0.19:1025
咪咕-高清赛事25,rtp://239.11.0.18:1025
咪咕-高清赛事19,rtp://239.11.0.10:1025
咪咕-高清赛事18,rtp://239.11.0.9:1025
咪咕-高清赛事23,rtp://239.11.0.14:1025
咪咕-高清赛事22,rtp://239.11.0.13:1025
咪咕-高清赛事21,rtp://239.11.0.12:1025
咪咕-高清赛事20,rtp://239.11.0.11:1025
咪咕-高清赛事17,rtp://239.11.0.8:1025
咪咕-高清赛事16,rtp://239.11.0.7:1025
咪咕-高清赛事15,rtp://239.11.0.6:1025
咪咕-高清赛事14,rtp://239.11.0.5:1025
咪咕-高清赛事13,rtp://239.11.0.4:1025
咪咕-高清赛事12,rtp://239.11.0.3:1025
咪咕-高清赛事11,rtp://239.11.0.2:1025
咪咕-高清赛事10,rtp://239.11.0.1:1025
咪咕-高清赛事9,rtp://239.10.0.252:1025
咪咕-高清赛事8,rtp://239.10.0.251:1025
咪咕-高清赛事7,rtp://239.10.0.250:1025
咪咕-高清赛事6,rtp://239.10.0.249:1025
咪咕-高清赛事5,rtp://239.10.0.248:1025
咪咕-高清赛事4,rtp://239.10.0.247:1025
移动咪咕五大联赛4K,rtp://239.10.0.69:1025
CCTV4k,rtp://239.10.0.68:1025
百视通高清直播室101,rtp://239.10.0.90:1025
百视通高清直播室102,rtp://239.10.0.91:1025
百视通高清直播室107,rtp://239.10.0.96:1025
百视通高清直播室106,rtp://239.10.0.95:1025
百视通高清直播室105,rtp://239.10.0.94:1025
百视通高清直播室104,rtp://239.10.0.93:1025
百视通高清直播室103,rtp://239.10.0.92:1025
咪咕-高清赛事1,rtp://239.10.0.87:1025
咪咕-高清赛事2,rtp://239.10.0.88:1025
咪咕-高清赛事3,rtp://239.10.0.89:1025
