共传输142套高清、标清电视节目信号
广西新闻,rtp://239.81.0.5:4056
3号[785*576],http://192.168.1.8/udp/239.81.0.3:4056
2号[785*576],http://192.168.1.8/udp/239.81.0.2:4056
9号[785*576],http://192.168.1.8/udp/239.81.0.9:4056
14号[785*576],http://192.168.1.8/udp/239.81.0.14:4056
15号[768*576],http://192.168.1.8/udp/239.81.0.15:4056
17号[768*576],http://192.168.1.8/udp/239.81.0.17:4056
20号[768*576],http://192.168.1.8/udp/239.81.0.20:4056
21号[785*576],http://192.168.1.8/udp/239.81.0.21:4056
22号[785*576],http://192.168.1.8/udp/239.81.0.22:4056
23号[785*576],http://192.168.1.8/udp/239.81.0.23:4056
24号[785*576],http://192.168.1.8/udp/239.81.0.24:4056
28号[768*576],http://192.168.1.8/udp/239.81.0.28:4056
29号[785*576],http://192.168.1.8/udp/239.81.0.29:4056
30号[785*576],http://192.168.1.8/udp/239.81.0.30:4056
31号[785*576],http://192.168.1.8/udp/239.81.0.31:4056
32号[785*576],http://192.168.1.8/udp/239.81.0.32:4056
36号[785*576],http://192.168.1.8/udp/239.81.0.36:4056
37号[768*576],http://192.168.1.8/udp/239.81.0.37:4056
34号[785*576],http://192.168.1.8/udp/239.81.0.34:4056
39号[768*576],http://192.168.1.8/udp/239.81.0.39:4056
38号[785*576],http://192.168.1.8/udp/239.81.0.38:4056
43号[785*576],http://192.168.1.8/udp/239.81.0.43:4056
44号[785*576],http://192.168.1.8/udp/239.81.0.44:4056
45号[785*576],http://192.168.1.8/udp/239.81.0.45:4056
48号[785*576],http://192.168.1.8/udp/239.81.0.48:4056
46号[785*576],http://192.168.1.8/udp/239.81.0.46:4056
50号[785*576],http://192.168.1.8/udp/239.81.0.50:4056
52号[785*576],http://192.168.1.8/udp/239.81.0.52:4056
51号[785*576],http://192.168.1.8/udp/239.81.0.51:4056
54号[785*576],http://192.168.1.8/udp/239.81.0.54:4056
56号[785*576],http://192.168.1.8/udp/239.81.0.56:4056
58号[785*576],http://192.168.1.8/udp/239.81.0.58:4056
57号[785*576],http://192.168.1.8/udp/239.81.0.57:4056
61号[785*576],http://192.168.1.8/udp/239.81.0.61:4056
62号[785*576],http://192.168.1.8/udp/239.81.0.62:4056
59号[768*576],http://192.168.1.8/udp/239.81.0.59:4056
65号[720*576],http://192.168.1.8/udp/239.81.0.65:4056
63号[785*576],http://192.168.1.8/udp/239.81.0.63:4056
67号[720*576],http://192.168.1.8/udp/239.81.0.67:4056
78号[785*576],http://192.168.1.8/udp/239.81.0.78:4056
80号[785*576],http://192.168.1.8/udp/239.81.0.80:4056
82号[720*576],http://192.168.1.8/udp/239.81.0.82:4056
79号[785*576],http://192.168.1.8/udp/239.81.0.79:4056
85号[720*576],http://192.168.1.8/udp/239.81.0.85:4056
86号[720*576],http://192.168.1.8/udp/239.81.0.86:4056
89号[785*576],http://192.168.1.8/udp/239.81.0.89:4056
91号[1920*1080],http://192.168.1.8/udp/239.81.0.91:4056
92号[1920*1080],http://192.168.1.8/udp/239.81.0.92:4056
93号[785*576],http://192.168.1.8/udp/239.81.0.93:4056
94号[1920*1080],http://192.168.1.8/udp/239.81.0.94:4056
96号[1920*1080],http://192.168.1.8/udp/239.81.0.96:4056
98号[785*576],http://192.168.1.8/udp/239.81.0.98:4056
100号[1920*1080],http://192.168.1.8/udp/239.81.0.100:4056
97号[768*576],http://192.168.1.8/udp/239.81.0.97:4056
102号[1920*1080],http://192.168.1.8/udp/239.81.0.102:4056
103号[1920*1080],http://192.168.1.8/udp/239.81.0.103:4056
105号[1920*1080],http://192.168.1.8/udp/239.81.0.105:4056
107号[1920*1080],http://192.168.1.8/udp/239.81.0.107:4056
106号[1920*1080],http://192.168.1.8/udp/239.81.0.106:4056
110号[1920*1080],http://192.168.1.8/udp/239.81.0.110:4056
111号[1920*1080],http://192.168.1.8/udp/239.81.0.111:4056
109号[1920*1080],http://192.168.1.8/udp/239.81.0.109:4056
114号[1920*1080],http://192.168.1.8/udp/239.81.0.114:4056
115号[1920*1080],http://192.168.1.8/udp/239.81.0.115:4056
116号[1920*1080],http://192.168.1.8/udp/239.81.0.116:4056
118号[1920*1080],http://192.168.1.8/udp/239.81.0.118:4056
119号[1920*1080],http://192.168.1.8/udp/239.81.0.119:4056
120号[1920*1080],http://192.168.1.8/udp/239.81.0.120:4056
123号[3840*2160],http://192.168.1.8/udp/239.81.0.123:4056
126号[768*576],http://192.168.1.8/udp/239.81.0.126:4056
129号[768*576],http://192.168.1.8/udp/239.81.0.129:4056
131号[785*576],http://192.168.1.8/udp/239.81.0.131:4056
133号[1920*1080],http://192.168.1.8/udp/239.81.0.133:4056
134号[768*576],http://192.168.1.8/udp/239.81.0.134:4056
135号[1024*576],http://192.168.1.8/udp/239.81.0.135:4056
136号[768*576],http://192.168.1.8/udp/239.81.0.136:4056
130号[1920*1080],http://192.168.1.8/udp/239.81.0.130:4056
138号[1024*576],http://192.168.1.8/udp/239.81.0.138:4056
139号[1920*1080],http://192.168.1.8/udp/239.81.0.139:4056
141号[1920*1080],http://192.168.1.8/udp/239.81.0.141:4056
140号[1920*1080],http://192.168.1.8/udp/239.81.0.140:4056
137号[768*576],http://192.168.1.8/udp/239.81.0.137:4056
149号[768*576],http://192.168.1.8/udp/239.81.0.149:4056
150号[1920*1080],http://192.168.1.8/udp/239.81.0.150:4056
151号[1920*1080],http://192.168.1.8/udp/239.81.0.151:4056
152号[1920*1080],http://192.168.1.8/udp/239.81.0.152:4056
153号[1920*1080],http://192.168.1.8/udp/239.81.0.153:4056
154号[1920*1080],http://192.168.1.8/udp/239.81.0.154:4056
163号[1920*1080],http://192.168.1.8/udp/239.81.0.163:4056
164号[1920*1080],http://192.168.1.8/udp/239.81.0.164:4056
166号[1920*1080],http://192.168.1.8/udp/239.81.0.166:4056
169号[785*576],http://192.168.1.8/udp/239.81.0.169:4056
168号[1920*1080],http://192.168.1.8/udp/239.81.0.168:4056
171号[768*576],http://192.168.1.8/udp/239.81.0.171:4056
172号[1920*1080],http://192.168.1.8/udp/239.81.0.172:4056
173号[1920*1080],http://192.168.1.8/udp/239.81.0.173:4056
174号[1920*1080],http://192.168.1.8/udp/239.81.0.174:4056
175号[1920*1080],http://192.168.1.8/udp/239.81.0.175:4056
176号[1920*1080],http://192.168.1.8/udp/239.81.0.176:4056
179号[1920*1080],http://192.168.1.8/udp/239.81.0.179:4056
180号[1920*1080],http://192.168.1.8/udp/239.81.0.180:4056
178号[1920*1080],http://192.168.1.8/udp/239.81.0.178:4056
183号[1920*1080],http://192.168.1.8/udp/239.81.0.183:4056
184号[1920*1080],http://192.168.1.8/udp/239.81.0.184:4056
185号[1920*1080],http://192.168.1.8/udp/239.81.0.185:4056
188号[1920*1080],http://192.168.1.8/udp/239.81.0.188:4056
189号[1920*1080],http://192.168.1.8/udp/239.81.0.189:4056
203号[1920*1080],http://192.168.1.8/udp/239.81.0.203:4056
202号[1920*1080],http://192.168.1.8/udp/239.81.0.202:4056
206号[1920*1080],http://192.168.1.8/udp/239.81.0.206:4056
213号[785*576],http://192.168.1.8/udp/239.81.0.213:4056
215号[1920*1080],http://192.168.1.8/udp/239.81.0.215:4056
212号[785*576],http://192.168.1.8/udp/239.81.0.212:4056
229号[1920*1080],http://192.168.1.8/udp/239.81.0.229:4056
227号[785*576],http://192.168.1.8/udp/239.81.0.227:4056
232号[1920*1080],http://192.168.1.8/udp/239.81.0.232:4056
231号[1920*1080],http://192.168.1.8/udp/239.81.0.231:4056
235号[768*576],http://192.168.1.8/udp/239.81.0.235:4056
236号[768*576],http://192.168.1.8/udp/239.81.0.236:4056
238号[1920*1080],http://192.168.1.8/udp/239.81.0.238:4056
239号[1920*1080],http://192.168.1.8/udp/239.81.0.239:4056
240号[1920*1080],http://192.168.1.8/udp/239.81.0.240:4056
234号[1920*1080],http://192.168.1.8/udp/239.81.0.234:4056
242号[785*576],http://192.168.1.8/udp/239.81.0.242:4056
241号[1920*1080],http://192.168.1.8/udp/239.81.0.241:4056
245号[785*576],http://192.168.1.8/udp/239.81.0.245:4056
244号[768*576],http://192.168.1.8/udp/239.81.0.244:4056
248号[1920*1080],http://192.168.1.8/udp/239.81.0.248:4056
250号[1920*1080],http://192.168.1.8/udp/239.81.0.250:4056
