CCTV1高清,rtp://239.93.0.184:5140
CCTV2高清,rtp://239.93.1.23:6000
CCTV3高清,rtp://239.93.1.11:2223
CCTV4高清,rtp://239.93.1.105:5140
CCTV5高清,rtp://239.93.1.12:2224
CCTV6高清,rtp://239.93.1.13:2226
CCTV7高清,rtp://239.93.1.67:5140
CCTV8高清,rtp://239.93.42.39:5140
CCTV9高清,rtp://239.93.1.24:5140
CCTV10高清,rtp://239.93.1.28:5140
CCTV11高清,rtp://239.93.0.102:5140
CCTV12高清,rtp://239.93.1.30:8124
CCTV13高清,rtp://239.93.0.66:5140
CCTV少儿高清,rtp://239.93.1.29:6000
CCTV15高清,rtp://239.93.0.103:5140
CCTV16高清,rtp://239.93.42.53:5140
CCTV17高清,rtp://239.93.0.92:5140
CCTV1杜比高清,rtp://239.93.0.69:5140
CCTV5＋高清,rtp://239.93.1.36:8004
爱上4K(4K机顶盒用户可观看),rtp://239.93.0.97:5140
CGTN英语,rtp://239.93.0.104:5140
CCTV16 4K超高清,rtp://239.93.42.54:5140
四川卫视高清,rtp://239.93.0.20:1235
CDTV-1高清,rtp://239.93.0.16:5140
湖南卫视高清,rtp://239.93.0.88:5140
江苏卫视高清,rtp://239.93.0.89:5140
浙江卫视高清,rtp://239.93.0.124:5140
东方卫视高清,rtp://239.93.0.123:5140
北京卫视高清,rtp://239.93.0.180:5140
深圳卫视高清,rtp://239.93.0.182:5140
广东卫视高清,rtp://239.93.0.181:5140
天津卫视高清,rtp://239.93.0.167:5140
山东卫视高清,rtp://239.93.0.168:5140
SCTV2高清,rtp://239.93.1.101:5140
SCTV3高清,rtp://239.93.1.102:5140
SCTV4高清,rtp://239.93.0.47:5140
SCTV5高清,rtp://239.93.0.166:5140
SCTV6高清,rtp://239.93.1.144:5140
SCTV7高清,rtp://239.93.0.219:5140
SCTV科教高清,rtp://239.93.42.44:5140
四川乡村高清,rtp://239.93.0.52:5140
峨眉电影高清,rtp://239.93.1.54:5140
康巴卫视高清,rtp://239.93.0.41:5140
江西卫视高清,rtp://239.93.0.134:5140
东南卫视高清 ,rtp://239.93.0.42:5140
黑龙江卫视高清,rtp://239.93.0.183:5140
重庆卫视高清,rtp://239.93.1.107:5140
贵州卫视高清,rtp://239.93.0.131:5140
湖北卫视高清,rtp://239.93.0.250:5140
安徽卫视高清,rtp://239.93.1.106:5140
河北卫视高清,rtp://239.93.0.132:5140
辽宁卫视高清,rtp://239.93.1.108:5140
河南卫视高清,rtp://239.93.42.45:5140
广西卫视高清,rtp://239.93.42.46:5140
云南卫视,rtp://239.93.0.174:5140
吉林卫视高清,rtp://239.93.0.248:5140
陕西卫视,rtp://239.93.0.176:5140
山西卫视,rtp://239.93.0.6:5140
内蒙古卫视,rtp://239.93.0.8:5140
青海卫视,rtp://239.93.0.192:5140
宁夏卫视,rtp://239.93.0.247:5140
西藏卫视,rtp://239.93.0.175:5140
新疆卫视,rtp://239.93.0.194:5140
甘肃卫视高清,rtp://239.93.0.81:5140
海南卫视,rtp://239.93.0.80:5140
陕西农林,rtp://239.93.0.100:5140
兵团卫视,rtp://239.93.42.43:5140
峨眉电影,rtp://239.93.0.252:5140
厦门卫视,rtp://239.93.42.57:5140
三沙卫视,rtp://239.93.42.58:5140
CDTV-2,rtp://239.93.0.17:1239
CDTV-3,rtp://239.93.0.18:1238
CDTV-4,rtp://239.93.0.19:1250
CDTV-5高清,rtp://239.93.1.231:5140
CDTV-6,rtp://239.93.0.21:1251
CDTV-8高清,rtp://239.93.0.22:1252
上海纪实高清,rtp://239.93.1.137:5140
金鹰纪实高清,rtp://239.93.0.130:5140
中国交通·四川,rtp://239.93.0.142:5140
CETV-1高清,rtp://239.93.1.111:5140
熊猫新闻高清,rtp://239.93.1.112:5140
熊猫体娱高清,rtp://239.93.0.94:5140
熊猫少儿高清,rtp://239.93.1.189:5140
熊猫影院高清,rtp://239.93.0.214:5140
睛彩四川,rtp://239.93.0.126:5140
成都大运高清,rtp://239.93.0.224:1281
熊猫频道高清,rtp://239.93.0.211:9148
金熊猫卡通高清,rtp://239.93.1.172:5140
炫动卡通,rtp://239.93.0.173:5140
嘉佳卡通,rtp://239.93.0.246:5140
收视导视高清,rtp://239.93.1.39:5140
熊猫爱生活高清,rtp://239.93.1.190:5140
大爱四川高清 ,rtp://239.93.1.110:5140
大爱旅游高清,rtp://239.93.42.70:5140
大爱生活高清,rtp://239.93.42.71:5140
大爱时尚高清,rtp://239.93.42.72:5140
斗牛财经高清,rtp://239.93.42.62:5140
HD看电影,rtp://239.93.42.47:5140
家政频道高清,rtp://239.93.42.48:5140
CETV-4,rtp://239.93.0.50:5140
经典电影,rtp://239.93.0.57:9024
华语影院,rtp://239.93.0.138:5140
星光院线,rtp://239.93.0.139:5140
全球大片,rtp://239.93.0.105:5140
热播剧场,rtp://239.93.0.56:9020
热门剧场,rtp://239.93.0.140:5140
港剧风云,rtp://239.93.0.143:5140
谍战剧场,rtp://239.93.0.95:5140
卡酷动画,rtp://239.93.0.208:5140
金鹰卡通,rtp://239.93.0.108:5140
优漫卡通,rtp://239.93.0.251:5140
宝宝动画高清,rtp://239.93.0.147:5140
少儿动画高清,rtp://239.93.0.193:9000
青春动漫,rtp://239.93.0.146:5140
热门综艺高清,rtp://239.93.0.151:5140
音乐现场高清,rtp://239.93.0.198:9044
戏曲精选,rtp://239.93.0.144:5140
戏曲,rtp://239.93.0.217:9208
魅力时尚高清,rtp://239.93.0.190:9012
生活时尚,rtp://239.93.0.106:5140
大爱旅游高清,rtp://239.93.1.234:5140
大爱生活高清,rtp://239.93.1.235:5140
大爱时尚高清,rtp://239.93.1.157:4120
爱生活高清,rtp://239.93.0.206:8028
财富天下,rtp://239.93.0.116:9136
东方财经,rtp://239.93.0.249:5140
股评汇,rtp://239.93.0.141:5140
爱体育,rtp://239.93.0.135:9008
电竞天堂高清,rtp://239.93.1.135:5140
游戏风云,rtp://239.93.0.136:5140
汽车频道,rtp://239.93.0.117:1292
足球高清,rtp://239.93.0.197:9040
高网高清,rtp://239.93.0.202:9068
台球高清,rtp://239.93.0.203:9072
纪实人文,rtp://239.93.1.154:5140
墨宝高清,rtp://239.93.0.215:9132
军事高清,rtp://239.93.0.204:9076
解密高清,rtp://239.93.0.199:9048
地理高清,rtp://239.93.0.200:9052
传奇,rtp://239.93.0.235:1282
收视指南,rtp://239.93.0.195:8012
资讯新干线,rtp://239.93.0.236:1283
蓉城先锋,rtp://239.93.0.91:2101
星空精选高清,rtp://239.93.1.171:5140
CGTN西班牙语,rtp://239.93.42.49:5140
CGTN法语,rtp://239.93.42.50:5140
每日影院,rtp://239.93.42.35:5140
爱怀旧高清,rtp://239.93.42.21:5140
爱喜剧高清,rtp://239.93.42.9:5140
爱奇谈高清,rtp://239.93.42.22:5140
爱科幻高清,rtp://239.93.42.10:5140
爱院线高清,rtp://239.93.42.11:5140
幸福剧场,rtp://239.93.42.30:5140
爱谍战高清,rtp://239.93.42.14:5140
爱经典高清,rtp://239.93.42.13:5140
爱悬疑高清,rtp://239.93.42.12:5140
爱青春高清,rtp://239.93.42.16:5140
爱都市高清,rtp://239.93.42.15:5140
少儿天地,rtp://239.93.42.34:5140
爱幼教高清,rtp://239.93.42.17:5140
爱玩具高清,rtp://239.93.42.18:5140
爱动漫高清,rtp://239.93.42.23:5140
求索频道高清,rtp://239.93.42.24:5140
爱电竞高清,rtp://239.93.42.19:5140
爱赛车高清,rtp://239.93.42.20:5140
爱宠宠物,rtp://239.93.42.32:5140
风尚生活,rtp://239.93.42.29:5140
幸福娱乐,rtp://239.93.42.31:5140
来钓鱼吧,rtp://239.93.42.8:5140
麻辣体育,rtp://239.93.42.2:5140
绚影4K,rtp://239.93.42.33:5140
中国体育1,rtp://239.93.42.25:5140
中国体育2,rtp://239.93.42.26:5140
中国体育3,rtp://239.93.42.27:5140
精彩推荐,rtp://239.93.1.5:5140
直播室1,rtp://239.93.1.180:5140
直播室2,rtp://239.93.1.181:5140
直播室3,rtp://239.93.1.182:5140
直播室4,rtp://239.93.1.183:5140
直播室5,rtp://239.93.1.184:5140
直播室6,rtp://239.93.1.185:5140
直播室7,rtp://239.93.1.186:5140
直播室8,rtp://239.93.1.187:5140
红原日干乔,rtp://239.93.0.178:5140
红原月亮湾,rtp://239.93.0.209:5140
自贡灯会,rtp://239.93.0.98:5140
雅克音乐季直播,rtp://239.93.1.237:5140
雅克音乐季宣传,rtp://239.93.1.43:5140
云演艺直播,rtp://239.93.42.59:5140
云演艺宣传,rtp://239.93.42.60:5140
920,rtp://239.93.1.130:5140
921,rtp://239.93.1.131:5140
922,rtp://239.93.1.132:5140
923,rtp://239.93.1.133:5140
924,rtp://239.93.1.122:5140
925,rtp://239.93.1.123:5140
926,rtp://239.93.1.124:5140
927,rtp://239.93.1.125:5140
928,rtp://239.93.1.126:5140
929,rtp://239.93.1.127:5140
CCTV1画中画,rtp://239.93.0.148:5140
CCTV2画中画,rtp://239.93.0.149:5140
CCTV3画中画,rtp://239.93.0.150:5140
CCTV4-画中画,rtp://239.93.0.212:5140
CCTV5画中画,rtp://239.93.0.158:5140
CCTV6画中画,rtp://239.93.0.64:5140
CCTV7画中画,rtp://239.93.0.79:5140
CCTV8画中画,rtp://239.93.0.154:5140
CCTV9画中画,rtp://239.93.1.64:5140
CCTV10画中画,rtp://239.93.1.63:5140
CCTV11-画中画,rtp://239.93.0.170:5140
CCTV12画中画,rtp://239.93.1.41:5140
CCTV新闻-画中画,rtp://239.93.0.187:5140
CCTV少儿画中画,rtp://239.93.1.40:5140
CCTV音乐-画中画,rtp://239.93.0.171:5140
CCTV1-单音轨,rtp://239.93.1.68:5140
CCTV1杜比-单音轨,rtp://239.93.1.87:5140
CCTV5＋-单音轨,rtp://239.93.1.79:5140
CGTN-画中画,rtp://239.93.0.216:5140
CCTV2-单音轨,rtp://239.93.1.69:5140
四川卫视画中画,rtp://239.93.0.128:5140
CDTV-1画中画,rtp://239.93.1.58:5140
湖南卫视画中画,rtp://239.93.1.46:5140
江苏卫视画中画,rtp://239.93.1.45:5140
浙江卫视画中画,rtp://239.93.1.6:5140
东方卫视画中画,rtp://239.93.1.44:5140
北京卫视画中画,rtp://239.93.1.66:5140
