大陆频道,#genre#
CCTV-1 综合 HD, http://lzoq.serv00.net/daili/Smartv.php?id=cctv1  
CCTV-2 财经, http://lzoq.serv00.net/daili/Smartv.php?id=cctv2  
CCTV-3 综艺 HD, http://lzoq.serv00.net/daili/Smartv.php?id=cctv3  
CCTV-4 中文国际, http://lzoq.serv00.net/daili/Smartv.php?id=cctv4  
CCTV4 新闻台, http://lzoq.serv00.net/daili/Smartv.php?id=Cctv4  
CCTV-7 军事农业, http://lzoq.serv00.net/daili/Smartv.php?id=cctv7  
CCTV-8 电视剧 HD, http://lzoq.serv00.net/daili/Smartv.php?id=cctv8hd  
CCTV-9 记录 HD, http://lzoq.serv00.net/daili/Smartv.php?id=cctv9hd  
CCTV-10 科教 HD, http://lzoq.serv00.net/daili/Smartv.php?id=cctv10hd  
CCTV-11 戏曲, http://lzoq.serv00.net/daili/Smartv.php?id=cctv11  
CCTV-12 社会与法, http://lzoq.serv00.net/daili/Smartv.php?id=cctv12  
CCTV-13 新闻频道, http://lzoq.serv00.net/daili/Smartv.php?id=cctv13  
CCTV-14 少儿, http://lzoq.serv00.net/daili/Smartv.php?id=cctv14  
CCTV-6, http://lzoq.serv00.net/daili/Smartv.php?id=cctv6  
CCTV-15 音乐, http://lzoq.serv00.net/daili/Smartv.php?id=cctv15  
湖南卫视 Hunan, http://lzoq.serv00.net/daili/Smartv.php?id=Hunan  
湖南卫视 （备份）, http://lzoq.serv00.net/daili/Smartv.php?id=hunan_twn  
浙江卫视 Zhejiang, http://lzoq.serv00.net/daili/Smartv.php?id=Zhejiang  
浙江卫视 （备用）, http://lzoq.serv00.net/daili/Smartv.php?id=zhejiang_twn  
江苏卫视 Jiangsu, http://lzoq.serv00.net/daili/Smartv.php?id=Jiangsu  
江苏卫视 （备份）, http://lzoq.serv00.net/daili/Smartv.php?id=jiangsu_twn  
深圳卫视, http://lzoq.serv00.net/daili/Smartv.php?id=shenzhen  
福建东南卫视, http://lzoq.serv00.net/daili/Smartv.php?id=fujian  
广东南方卫视, http://lzoq.serv00.net/daili/Smartv.php?id=nanfang_twn  
广东卫视, http://lzoq.serv00.net/daili/Smartv.php?id=guangdongweishi_twn  
北京卫视, http://lzoq.serv00.net/daili/Smartv.php?id=beijing  
珠江台, http://lzoq.serv00.net/daili/Smartv.php?id=zhujiang  
广西卫视, http://lzoq.serv00.net/daili/Smartv.php?id=guangxi  
湖北卫视, http://lzoq.serv00.net/daili/Smartv.php?id=hubei  
四川卫视, http://lzoq.serv00.net/daili/Smartv.php?id=sichuan_twn  
凤凰卫视, http://lzoq.serv00.net/daili/Smartv.php?id=phoenixtv_hd  
