CCTV1HD,rtp://239.254.96.82:7640
CCTV2HD,rtp://239.254.96.124:7084
CCTV3HD,rtp://239.254.96.67:7520
CCTV4HD,rtp://239.254.96.180:7092
CCTV5HD,rtp://239.254.96.66:7512
CCTV5+HD,rtp://239.254.96.83:7004
CCTV6HD,rtp://239.254.96.63:7488
CCTV7HD,rtp://239.254.96.125:7104
CCTV8HD,rtp://239.254.96.62:7480
CCTV9HD,rtp://239.254.96.126:7112
CCTV10HD,rtp://239.254.96.127:7116
CCTV11HD,rtp://239.254.96.187:8166
CCTV12HD,rtp://239.254.96.128:7124
CCTV13HD,rtp://239.254.96.200:8205
CCTV14HD,rtp://239.254.96.129:7132
CCTV15HD,rtp://239.254.96.188:8170
CCTV164K,rtp://239.254.96.170:8206
CCTV17HD,rtp://239.254.96.57:8204
海南卫视HD,rtp://239.254.96.179:7154
三沙卫视HD,rtp://239.254.96.184:7158
海南自贸HD,rtp://239.254.96.185:8162
海南公共HD,rtp://239.254.96.186:8164
海南文旅HD,rtp://239.254.96.191:8176
海南少儿HD,rtp://239.254.96.192:8178
海南新闻HD,rtp://239.254.96.190:8174
海口1台,rtp://239.254.96.103:7808
三亚1台,rtp://239.254.96.106:8832
文昌,rtp://239.254.96.107:7840
北京卫视HD,rtp://239.254.96.84:7656
东方卫视HD,rtp://239.254.96.90:7704
湖南卫视HD,rtp://239.254.96.85:7664
广东卫视HD,rtp://239.254.96.130:7048
江苏卫视HD,rtp://239.254.96.88:7688
山东卫视HD,rtp://239.254.96.131:7052
浙江卫视HD,rtp://239.254.96.89:7696
黑龙江卫视HD,rtp://239.254.96.86:7672
湖北卫视HD,rtp://239.254.96.91:7712
深圳卫视HD,rtp://239.254.96.87:7020
贵州卫视HD,rtp://239.254.96.182:7076
河北卫视HD,rtp://239.254.96.181:7072
安徽卫视HD,rtp://239.254.96.133:7064
东南卫视HD,rtp://239.254.96.189:8172
辽宁卫视HD,rtp://239.254.96.132:7056
天津卫视HD,rtp://239.254.96.183:7364
重庆卫视HD,rtp://239.254.96.60:7464
江西卫视HD,rtp://239.254.96.61:7472
吉林卫视HD,rtp://239.254.96.65:7504
新疆卫视,rtp://239.254.96.54:7416
兵团卫视,rtp://239.254.96.153:8126
甘肃卫视,rtp://239.254.96.55:7424
青海卫视,rtp://239.254.96.51:7392
陕西卫视,rtp://239.254.96.48:7368
厦门卫视,rtp://239.254.96.152:8122
河南卫视,rtp://239.254.96.34:7256
宁夏卫视,rtp://239.254.96.52:7400
山西卫视,rtp://239.254.96.49:7376
西藏卫视,rtp://239.254.96.53:7408
云南卫视,rtp://239.254.96.33:7248
纪实HD,rtp://239.254.96.134:7060
金鹰纪实HD,rtp://239.254.96.154:7156
CGTN英文纪录,rtp://239.254.96.58:7448
CGTN,rtp://239.254.96.16:7112
内蒙古卫视,rtp://239.254.96.50:7384
卡酷动画,rtp://239.254.96.69:7536
嘉佳卡通,rtp://239.254.96.71:7552
金鹰卡通,rtp://239.254.96.70:7544
教育1HD,rtp://239.254.96.155:7152
CETV1,rtp://239.254.96.167:8142
CETV2,rtp://239.254.96.168:8146
CETV4,rtp://239.254.96.169:8148
财富天下,rtp://239.254.96.72:7560
山东教育,rtp://239.254.96.151:8118
爱综艺,rtp://239.254.96.3:7004
爱体育HD,rtp://239.254.96.101:7792
爱电影,rtp://239.254.96.6:7016
爱大剧,rtp://239.254.96.8:7048
收视指南,rtp://239.254.96.17:7120
爱上4K,rtp://239.254.96.102:7800
墨宝,rtp://239.254.96.94:8714
国学,rtp://239.254.96.141:8094
爱生活,rtp://239.254.96.145:7996
早教,rtp://239.254.96.143:8098
好学生,rtp://239.254.96.144:7994
IPTV法治,rtp://239.254.96.81:7632
IPTV野外,rtp://239.254.96.80:7624
地理,rtp://239.254.96.139:8086
解密,rtp://239.254.96.100:8066
军事,rtp://239.254.96.140:8090
IPTV谍战剧场,rtp://239.254.96.77:7600
古装剧场,rtp://239.254.96.137:8078
城市剧场,rtp://239.254.96.150:8114
军旅剧场,rtp://239.254.96.136:8070
热播剧场,rtp://239.254.96.74:7576
武侠剧场,rtp://239.254.96.92:8706
精选,rtp://239.254.96.73:8212
动作影院,rtp://239.254.96.148:8108
家庭影院,rtp://239.254.96.149:8110
喜剧影院,rtp://239.254.96.147:8106
经典电影,rtp://239.254.96.75:7584
动画,rtp://239.254.96.93:8708
少儿动画,rtp://239.254.96.79:7616
足球,rtp://239.254.96.146:7998
武术,rtp://239.254.96.98:8762
台球,rtp://239.254.96.95:8716
高网,rtp://239.254.96.99:8764
IPTV相声小品,rtp://239.254.96.78:7608
美人,rtp://239.254.96.96:8718
戏曲,rtp://239.254.96.142:8096
音乐现场,rtp://239.254.96.138:8082
魅力时尚,rtp://239.254.96.76:7592
