CCTV16 HD, rtp://239.61.4.135:1025
CCTV16 4K, rtp://239.61.4.136:1025
福建电视,http://yxc.yadiupi.com:7777/udp/239.61.4.5:1025
福建综合,http://yxc.yadiupi.com:7777/udp/239.61.5.167:1025
福建旅游,http://yxc.yadiupi.com:7777/udp/239.61.4.6:1025
福建公共,http://yxc.yadiupi.com:7777/udp/239.61.4.3:1025
福建综合(高清),rtp://239.61.5.167:1025
东南卫视(高清),rtp://239.61.4.114:1025
福建公共,rtp://239.61.4.3:1025
福建新闻,rtp://239.61.4.4:1025
福建电视剧,rtp://239.61.4.5:1025
福建旅游,rtp://239.61.4.6:1025
福建经济生活,rtp://239.61.4.7:1025
福建体育HD,rtp://239.61.5.44:1025
福建少儿,rtp://239.61.4.9:1025
海峡卫视HD,rtp://239.61.5.45:1025
福建教育频道,rtp://239.61.5.60:1025
厦门卫视,rtp://239.61.4.11:1025
CCTV-1(高清),rtp://239.61.5.180:1025
CCTV-2(高清),rtp://239.61.5.61:1025
IPTV3＋,rtp://239.61.5.100:1025
CCTV-4(高清),rtp://239.61.5.56:1025
IPTV5＋(高清),rtp://239.61.5.105:1025
CCTV-5＋(高清),rtp://239.61.5.58:1025
IPTV6＋,rtp://239.61.5.102:1025
CCTV-7(高清),rtp://239.61.5.62:1025
IPTV8＋,rtp://239.61.5.103:1025
CCTV-9(高清),rtp://239.61.5.59:1025
CCTV-10(高清),rtp://239.61.5.63:1025
CCTV-11,rtp://239.61.4.21:1025
CCTV-12(高清),rtp://239.61.5.64:1025
CCTV-新闻,rtp://239.61.4.23:1025
CCTV-14(高清),rtp://239.61.5.65:1025
CCTV-音乐,rtp://239.61.4.25:1025
CGTN,rtp://239.61.4.19:1025
CCTV-高网,rtp://239.61.4.26:1025
爱上4K,rtp://239.61.5.164:1025
CCTV-17(高清),rtp://239.61.5.158:1025
优购物,rtp://239.61.5.131:1025
快乐购物,rtp://239.61.5.192:1025
央广购物,rtp://239.61.5.106:1025
家有购物,rtp://239.61.5.130:1025
东方卫视(高清),rtp://239.61.4.28:1025
湖南卫视(高清),rtp://239.61.4.31:1025
江苏卫视(高清),rtp://239.61.4.30:1025
浙江卫视(高清),rtp://239.61.4.29:1025
河北卫视(高清),rtp://239.61.4.59:1025
广东卫视(高清),rtp://239.61.4.33:1025
山东卫视(高清),rtp://239.61.4.37:1025
湖北卫视(高清),rtp://239.61.4.36:1025
黑龙江卫视(高清),rtp://239.61.4.34:1025
贵州卫视(高清),rtp://239.61.5.46:1025
安徽卫视(高清),rtp://239.61.5.157:1025
天津卫视(高清),rtp://239.61.5.67:1025
四川卫视(高清),rtp://239.61.5.160:1025
江西卫视(高清),rtp://239.61.5.69:1025
辽宁卫视(高清),rtp://239.61.5.68:1025
重庆卫视(高清),rtp://239.61.5.159:1025
北京卫视(高清),rtp://239.61.4.32:1025
云南卫视,rtp://239.61.4.63:1025
河南卫视(高清),rtp://239.61.4.61:1025
海南卫视（高清）,rtp://239.61.5.190:1025
广西卫视,rtp://239.61.4.50:1025
陕西卫视,rtp://239.61.4.40:1025
青海卫视,rtp://239.61.4.62:1025
宁夏卫视,rtp://239.61.4.58:1025
中国教育-1(高清),rtp://239.61.5.53:1025
纪实频道(高清),rtp://239.61.5.51:1025
中国教育-2,rtp://239.61.5.169:1025
中国气象,rtp://239.61.4.66:1025
金鹰卡通,rtp://239.61.5.107:1025
卡酷卡通,rtp://239.61.5.108:1025
吉林卫视（高清）,rtp://239.61.5.109:1025
山西卫视,rtp://239.61.5.110:1025
甘肃卫视,rtp://239.61.5.111:1025
内蒙古卫视,rtp://239.61.5.112:1025
新疆卫视,rtp://239.61.5.113:1025
