辽宁电信IPTV直播源
CCTV-1 综合频道高清,udp/239.33.1.2:22580
辽宁卫视高清,udp/239.33.1.1:22570
CCTV-2 财经频道高清,udp/239.33.1.3:22590
CCTV-4 国际频道高清,udp/239.33.1.40:22960
CCTV-7 农业军事频道高清,udp/239.33.1.8:22640
CCTV-9 纪录频道高清,udp/239.33.1.10:22660
CCTV-10 科教频道高清,udp/239.33.1.11:22670
CCTV-12 社会与法频道高清,udp/239.33.1.12:22680
CCTV-14 少儿频道高清,udp/239.33.1.13:22690
CCTV 5+,udp/239.33.1.6:22620
CGTN纪录高清,udp/239.33.1.44:23000
CGTN NEWS高清,udp/239.33.1.43:22900
黑龙江卫视高清,udp/239.33.1.14:22700
湖南卫视高清,udp/239.33.1.15:22710
安徽卫视高清,udp/239.33.1.16:22720
湖北卫视高清,udp/239.33.1.17:22730
山东卫视高清,udp/239.33.1.18:22740
广东卫视高清,udp/239.33.1.19:22750
深圳卫视高清,udp/239.33.1.20:22760
北京卫视高清,udp/239.33.1.21:22770
天津卫视高清,udp/239.33.1.22:22780
浙江卫视高清,udp/239.33.1.51:23070
家有购物重播,udp/239.33.1.49:23050
东方卫视高清,udp/239.33.1.24:22800
四川卫视高清,udp/239.33.1.42:22980
重庆卫视高清,udp/239.33.1.41:22970
江苏卫视高清,udp/239.33.1.52:23080
福建东南卫视高清,udp/239.33.1.55:23110
中国教育1高清,udp/239.33.1.45:23010
北京纪实高清,udp/239.33.1.25:22810
金鹰纪实高清,udp/239.33.1.26:22820
时光剧场高清,udp/239.33.1.48:23040
爱映画高清,udp/239.33.1.46:23020
晴天动画馆高清,udp/239.33.1.47:23030
大众影视高清,udp/239.33.1.27:22830
家庭影院高清,udp/239.33.1.29:22850
家庭剧场高清,udp/239.33.1.28:22840
卡通剧场高清,udp/239.33.1.30:22860
辽宁卫视,udp/239.33.0.16:20160
辽宁都市频道,udp/239.33.0.17:20170
辽宁影视剧频道,udp/239.33.0.18:20180
辽宁体育频道,udp/239.33.0.19:20190
辽宁生活频道,udp/239.33.0.20:20200
辽宁教育青少频道,udp/239.33.0.21:20210
辽宁北方频道,udp/239.33.0.22:20220
辽宁宜佳购物频道,udp/239.33.0.23:20230
移动电视频道,udp/239.33.0.25:20250
辽宁经济频道,udp/239.33.0.121:21210
辽宁公共频道,udp/239.33.0.122:21220
