CCTV1,rtp://239.0.2.29:5140
CCTV2,rtp://239.0.2.7:5140
CCTV3,rtp://239.0.2.20:5140
CCTV4,rtp://239.0.2.8:5140
CCTV5,rtp://239.0.2.35:5140
CCTV6,rtp://239.0.2.21:5140
CCTV7,rtp://239.0.2.36:5140
CCTV8,rtp://239.0.2.22:5140
CCTV9,rtp://239.0.2.37:5140
CCTV10,rtp://239.0.2.30:5140
CCTV11,rtp://239.0.2.4:5140
CCTV12,rtp://239.0.2.31:5140
CCTV13,rtp://239.0.2.5:5140
CCTV14,rtp://239.0.2.32:5140
CCTV15,rtp://239.0.2.6:5140
CCTV16,rtp://239.0.2.33:5140
CCTV17,rtp://239.0.2.34:5140
CCTV5+,rtp://239.0.2.58:5140
辽宁卫视,rtp://239.0.0.17:5140
西藏卫视,rtp://239.0.0.19:5140
青海卫视,rtp://239.0.0.21:5140
云南卫视,rtp://239.0.0.23:5140
山西卫视,rtp://239.0.0.26:5140
广西卫视,rtp://239.0.0.27:5140
内蒙古卫视,rtp://239.0.0.31:5140
新疆卫视,rtp://239.0.0.34:5140
宁夏卫视,rtp://239.0.0.38:5140
陕西卫视,rtp://239.0.0.39:5140
甘肃卫视,rtp://239.0.0.74:5140
黑龙江卫视,rtp://239.0.0.45:5140
湖南卫视,rtp://239.0.2.24:5140
江苏卫视,rtp://239.0.2.25:5140
东方卫视,rtp://239.0.2.39:5140
浙江卫视,rtp://239.0.2.26:5140
北京卫视,rtp://239.0.0.79:5140
广东卫视,rtp://239.0.0.53:5140
安徽卫视,rtp://239.0.0.58:5140
河南卫视,rtp://239.0.0.71:5140
吉林卫视,rtp://239.0.0.60:5140
天津卫视,rtp://239.0.2.49:5140
东南卫视,rtp://239.0.0.64:5140
山东卫视,rtp://239.0.0.61:5140
江西卫视,rtp://239.0.0.67:5140
四川卫视,rtp://239.0.0.80:5140
深圳卫视,rtp://239.0.2.48:5140
贵州卫视,rtp://239.0.0.68:5140
海南卫视,rtp://239.0.0.66:5140
湖北卫视,rtp://239.0.2.23:5140
重庆卫视,rtp://239.0.0.70:5140
河北卫视,rtp://239.0.0.65:5140
黑龙江影视,rtp://239.0.0.46:5140
黑龙江文体,rtp://239.0.0.47:5140
黑龙江都市,rtp://239.0.0.48:5140
黑龙江新闻,rtp://239.0.0.49:5140
黑龙江少儿,rtp://239.0.0.50:5140
黑龙江公共,rtp://239.0.0.51:5140
哈尔滨新闻,rtp://239.0.2.40:5140
超级电视剧,rtp://239.0.2.46:5140
超级电影,rtp://239.0.2.45:5140
黑莓电影,rtp://239.0.2.57:5140
卡酷少儿,rtp://239.0.2.69:5140
炫动卡通,rtp://239.0.2.98:5140
金鹰卡通,rtp://239.0.2.65:5140
优漫卡通,rtp://239.0.2.99:5140
